"There was an error:","Ha habido un error:"
"The payment service is currently unavailable.","El servicio de pago no está disponible en este momento."
"The module is configured incorrectly.","El módulo no está configurado correctamente."
"Your Mollie Account is reachable from the Magento store, but <a href=""https://www.mollie.nl/beheer/diensten/"">seems to lack payment methods</a>.","Su Cuenta Mollie es accesible desde Magento, pero <a href='https://www.mollie.nl/beheer/diensten/'>no tiene métodos de pago habilitados</a>."
"Warning: It seems you have not set a webhook in your Mollie profile.","Advertencia: Parece que aún no has configurado un webhook en tu perfil de Mollie. Sin un webhook, los pedidos siguen pendientes."
"Webhook not set!","¡El Webhook no está configurado!"
"Missing file(s) detected!","¡Se han detectado archivos perdidos!"
"Version incompatible!","¡Versión incompatible!"
"Your Magento version is incompatible with this module!","¡Su versión de Magento es incompatible con este módulo!"
"Minimal version requirement: ","Versión mínima esperada:"
"Current version: ","Versión actual: "
"Module outdated!","¡Módulo obsoleto!"
"Mollie currently provides %d payment methods, while this module only supports %d method slots.","Mollie actualmente provee %d métodos de pago, mientras que este módulo tiene espacio para sólo %d métodos."
"To enable all supported payment methods, get the latest Magento plugin from the <a href=""https://www.mollie.nl/betaaldiensten/ideal/modules/"" title=""Mollie Modules"">Mollie Modules list</a>.","Para utilizar todos los métodos de pago compatibles, puede descargar el último plugin de Magento desde <a href='https://www.mollie.nl/betaaldiensten/ideal/modules/' title='Módulos Mollie'>lista de Módulos Mollie Module list</a>. Si no se dispone de una versión más reciente, póngase <a href='https://www.mollie.nl/bedrijf/contact' title='Ayuda Mollie'>en contacto con Mollie BV</a>."
"Outdated file(s) found!","¡Archivos obsoletos encontrados!"
"These aren&lsquo;t needed any longer; you might as well delete them.","Estos archivos ya no son necesarios, puede eliminarlos."
"Status","Estado"
"Module status: OK!","Estado del módulo: ¡OK!"
"Language Payment Page","Idioma Página de pago"
"Let Mollie automatically detect the language or force a language for your store view.","Deje que Mollie detecte automáticamente el idioma o forzarlo para la vista de la tienda en cuestión."
"Api Key","Clave Api"
"Enabled","Activado"
"Description","Descripción"
"Manual invoicing","Facturar manualmente"
"Skip order confirmation mails","Desactivar los correos de pedidos"
"Skip invoice confirmation mails","Desactivar los correos de facturas"
"Show Images","Mostrar imágenes"
"Show Bank List","Mostrar la lista de bancos"
"Webhook","Webhook"
"Payment methods","Métodos de pago"
"Minimum Amount","Importe mínimo"
"Maximum Amount","Importe máximo"
"Version","Versión"
"You can find your <i>Api Key</i> in your <a href=""https://www.mollie.nl/beheer/account/profielen/"" title=""Mollie Profiles"">Mollie Profile</a>.","Encontrará su <i>Api Key</i> en su <a href='https://www.mollie.nl/beheer/account/profielen/' title='Perfiles Mollie'>Perfil Mollie</a>. Su cuenta Mollie está enlazada a la tienda web a través de esta clave.<br />Las claves de API comienzan con <code>test_</code> o <code>live_</code>."
"Your webhook URL is:","La <i>URL de su webhook</i> también se puede configurar en su <a href='https://www.mollie.nl/beheer/account/profielen/' title='Perfiles Mollie'>Perfil Mollie</a>. Un webhook es la página a la que Mollie llama para informar del estado del pago. <br />La URL de su webhook es:"
"%d payment methods available:","%d métodos de pago disponibles:"
