"There was an error:","Er is een fout opgetreden:"
"The payment service is currently unavailable.","De betaalservice is momenteel niet beschikbaar."
"The module is configured incorrectly.","De module is niet correct geconfigureerd."
"Your Mollie Account is reachable from the Magento store, but <a href=""https://www.mollie.nl/beheer/diensten/"">seems to lack payment methods</a>.","Uw Mollie Account is bereikbaar vanuit Magento, maar <a href=""https://www.mollie.nl/beheer/diensten/"">heeft geen ingeschakelde betaalmethoden</a>."
"Warning: It seems you have not set a webhook in your Mollie profile.","Waarschuwing: Het lijkt erop dat u nog geen webhook hebt ingesteld in uw Mollie profiel. Zonder webhook blijven bestellingen op pending."

"Webhook not set!","Webhook niet ingesteld!"
"Missing file(s) detected!","Missende bestanden gedetecteerd!"
"Version incompatible!","Incompatibele versie!"
"Your Magento version is incompatible with this module!","Uw Magento versie is incompatibel met deze module!"
"Minimal version requirement: ","Minimaal verwachte versie:"
"Current version: ","Huidige versie: "
"Module outdated!","Module achterhaald!"
"Mollie currently provides %d payment methods, while this module only supports %d method slots.","Mollie levert momenteel %d betaalmethoden, terwijl deze module slechts plek heeft voor %d methoden."
"To enable all supported payment methods, get the latest Magento plugin from the <a href=""https://www.mollie.nl/betaaldiensten/ideal/modules/"" title=""Mollie Modules"">Mollie Modules list</a>.","Om alle ondersteunde betaalmethoden te gebruiken, kunt u de nieuwste Magento plugin uit de <a href=""https://www.mollie.nl/betaaldiensten/ideal/modules/"" title=""Mollie Modules"">Mollie Module lijst</a> downloaden. Mocht er geen nieuwere versie beschikbaar zijn, neem dan <a href=""https://www.mollie.nl/bedrijf/contact"" title=""Mollie Support"">contact op met Mollie BV</a>."
"Outdated file(s) found!","Gedateerde bestanden gevonden!"
"These aren&lsquo;t needed any longer; you might as well delete them.","Deze bestanden zijn niet meer nodig, u kunt ze verwijderen."
"Status","Status"
"Module status: OK!","Status van de module: OK!"

"Api Key","Api Sleutel"
"Enabled","Ingeschakeld"
"Description","Omschrijving"
"Manual invoicing","Handmatig factureren"
"Skip order confirmation mails","Bestelling mails uitzetten"
"Skip invoice confirmation mails","Factuur mails uitzetten"
"Show Images","Afbeeldingen weergeven"
"Show Bank List","Bankenlijst weergeven"

"Webhook","Webhook"
"Payment methods","Betaalmethoden"
"Minimum Amount","Minimumbedrag"
"Maximum Amount","Maximumbedrag"
"Version","Versie"

"You can find your <i>Api Key</i> in your <a href=""https://www.mollie.nl/beheer/account/profielen/"" title=""Mollie Profiles"">Mollie Profile</a>.","U vindt uw <i>Api Sleutel</i> in uw <a href=""https://www.mollie.nl/beheer/account/profielen/"" title=""Mollie Profielen"">Mollie Profiel</a>. Uw Mollie account is aan de webshop gekoppeld via deze sleutel.<br />Api Sleutels beginnen met <code>test_</code> of <code>live_</code>."
"Your webhook URL is:","Ook de <i>webhook URL</i> kan in uw <a href=""https://www.mollie.nl/beheer/account/profielen/"" title=""Mollie Profielen"">Mollie Profiel</a> worden ingesteld. Een webhook is de pagina de Mollie aanroept om de betaalstatus door te geven.<br />Uw webhook URL is:"
"%d payment methods available:","%d betaalmethoden beschikbaar:"
"One payment method available:","Één betaalmethode beschikbaar:"
"No payment methods available for this account.<br />Reason: ","Er zijn geen betaalmethoden beschikbaar voor uw account.<br />Reden: "
"This is version &quot;v%s&quot; of Mollie&lsquo;s Magento module.","Dit is versie &quot;v%s&quot; van Mollie&lsquo;s Magento module."
"If you have any questions or suggestions, please contact <a href=""https://www.mollie.nl/bedrijf/contact"" title=""Mollie Support Contact"">Mollie B.V.</a>","Als u vragen of suggesties hebt, kunt u contact opnemen met <a href=""https://www.mollie.nl/bedrijf/contact"" title=""Mollie Support Contact"">Mollie B.V.</a>"

"Mollie Settings","Mollie Instellingen"
"Mollie Support","Mollie Support"

"<b>Mollie Api Key:</b> <br/> Your Mollie Api Key. The payment is added to this account.","<b>Mollie Api Sleutel:</b> <br/> Uw Mollie Api Sleutel. De betalingen worden toegevoegd aan het corresponderende account."
"<b>Status:</b> <br/> Enable or disable the Mollie plugin.","<b>Status:</b> <br/> Activeer of deactiveer de Mollie plugin"
